name,summary,prep_time,cook_time,total_time,servings,process,ingredients,url
Buffalo Chicken Sushi Roll,"I made this Buffalo chicken sushi recipe for my wife, who is not into raw sushi fish. Now, the whole family is totally hooked on it!",25 mins,N/A,25 mins,4,"Combine chicken and hot sauce in a bowl; toss to coat. | Place 1 nori sheet onto a bamboo sushi rolling mat. Spread 1 cup rice onto nori, leaving a 1/2-inch strip along 1 edge. Place 1/4 each chicken, carrot, and celery in a line near bottom edge of rice. Roll nori sheet around rice and fillings, using the mat to help. Moisten remaining nori edge with a finger dipped in water; press to seal. Repeat with remaining nori, rice, chicken, carrot, and celery. | Slice each roll into 8 pieces using a sharp, wet knife. Top each piece with a dollop of mayonnaise and a small amount of onion.","8 ounces fully cooked breaded chicken breast tenderloins | ¼ cup hot pepper sauce | 4 sheets nori (dry seaweed) | 4 cups cooked sushi rice | 1  carrot, peeled and cut into 4-inch matchsticks | 1  celery stalk, cut into 4-inch matchsticks | ¼ cup spicy mayonnaise | ¼ cup French-fried onions (such as French's)",https://www.allrecipes.com/recipe/239021/buffalo-chicken-sushi-roll/
Authentic Yakisoba,"This authentic yakisoba was taught to me by my host mother when I lived in Osaka, Japan. It is the real deal and my friends love it.",30 mins,25 mins,55 mins,8,"Bring a large pot of water to a boil. Cook soba in boiling water, stirring occasionally, until noodles are tender yet firm to the bite, 5 to 8 minutes. Drain noodles and rinse with cold water. Set aside. | Heat oil in a wok over medium heat. Add pork and stir-fry with a pinch of salt and pepper, about 5 minutes. Transfer meat to a plate, reserving oil in wok. Add carrots, onion, ginger, and garlic to the wok and stir-fry for 3 to 4 minutes. | Add cabbage to the wok and stir-fry briefly, about 1 minute. Add drained soba noodles. Pour in 1/2 the yakisoba sauce and stir-fry until noodles and vegetables are covered with sauce, about 3 minutes. Return pork to the wok. Add additional sauce as desired. Remove from heat. | Garnish yakisoba with kizami nori and a small pile of beni shoga just before serving.","4 (8 ounce) packages buckwheat soba noodles | 2 tablespoons vegetable oil | 1 pound pork tenderloin, cut against the grain in thin strips | 2 cups carrots, cut into julienne strips | 1 medium onion, cut into julienne strips | 1 tablespoon freshly grated ginger | 3 cloves garlic, minced | ½ head napa cabbage, shredded | ⅔ cup yakisoba sauce | salt and ground black pepper to taste | 4 tablespoons pickled red ginger (beni shoga), or to taste | 4 tablespoons kizami nori (dried flaked aonori seaweed), or to taste",https://www.allrecipes.com/recipe/272610/authentic-yakisoba/
Karaage (Japanese Fried Chicken) with Honey Mayoster Sauce,"This karaage (Japanese fried chicken) with honey mayoster sauce recipe is very easy to make and my guests always enjoy it a lot! It can be served as an appetizer or over a bed of rice as a quick weekday dinner! I usually marinate it the night before to give it more flavor, but if it's a last-minute meal you are preparing, no worries because there's still dipping sauce! Serve it with hot with shredded lettuce and a lemon wedge.",15 mins,5 mins,8 hrs 20 mins,4,"Whisk 1 1/2 tablespoons soy sauce, 1 tablespoon honey, garlic, and ginger together in a large glass or ceramic bowl. Add chicken and toss to evenly coat. Cover the bowl with plastic wrap and marinate in the refrigerator for 8 hours to overnight. | Remove chicken from marinade and shake off excess. Discard remaining marinade. | Beat egg in a bowl until smooth. Add panko bread crumbs to a shallow bowl. Dip chicken into beaten egg. Lift up so excess egg drips back in the bowl. Press into panko until completely coated. Place the breaded chicken, unstacked, onto a plate. Repeat with remaining chicken. | Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C). Lower chicken carefully into the hot oil in batches. Fry until golden brown, about 5 minutes. Transfer to paper towels to drain. Repeat with remaining chicken. | Whisk Japanese mayonnaise, mirin, 2 tablespoons honey, Dijon mustard, and 1 tablespoon soy sauce together in a bowl; pour sauce over chicken.","1 ½ tablespoons low-sodium soy sauce | 1 tablespoon honey | 2 teaspoons minced garlic | 2 teaspoons minced fresh ginger | 1 pound skinless, boneless chicken thighs, cut into bite-sized pieces | 1  egg | 1 cup panko bread crumbs | vegetable oil for frying | ½ cup Japanese mayonnaise | 3 tablespoons mirin (Japanese sweet wine) | 2 tablespoons honey | 2 tablespoons Dijon mustard | 1 tablespoon low-sodium soy sauce",https://www.allrecipes.com/recipe/258032/karaage-japanese-fried-chicken-with-honey-mayoster-sauce/
Yakisoba Chicken,Japanese buckwheat flour noodles with chicken at their best! Noodles can be found in an Asian foods market.,15 mins,15 mins,30 mins,6,"In a large skillet combine sesame oil, canola oil and chili paste; stir-fry 30 seconds. Add garlic and stir fry an additional 30 seconds. Add chicken and 1/4 cup of the soy sauce and stir fry until chicken is no longer pink, about 5 minutes. Remove mixture from pan, set aside, and keep warm. | In the emptied pan combine the onion, cabbage, and carrots. Stir-fry until cabbage begins to wilt, 2 to 3 minutes. Stir in the remaining soy sauce, cooked noodles, and the chicken mixture to pan and mix to blend. Serve and enjoy!","½ teaspoon sesame oil | 1 tablespoon canola oil | 2 tablespoons chile paste | 2 cloves garlic, chopped | 4  skinless, boneless chicken breast halves - cut into 1 inch cubes | ½ cup soy sauce | 1  onion, sliced lengthwise into eighths | ½ medium head cabbage, coarsely chopped | 2  carrots, coarsely chopped | 8 ounces soba noodles, cooked and drained",https://www.allrecipes.com/recipe/8628/yakisoba-chicken/
Japanese Shrimp Fried Rice with Yum Yum Sauce,"Best shrimp fried rice I've ever made or had! The yum yum sauce tastes better if made the day before, so the flavors can marry.",15 mins,45 mins,1 hr,6,"Bring 3 cups water and rice to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes. Set aside and let cool. | Heat 2 tablespoons vegetable oil in a large, deep skillet over medium-high heat. Add onion and cook until soft and translucent, about 5 minutes. Stir in garlic and cook until fragrant, about 1 minute. Mix in cooked jasmine rice and frozen peas and carrots; fry until rice begins to brown, about 5 minutes. Add 2 tablespoons butter and stir to combine. Pour in eggs and cook until firm. Add oyster sauce, soy sauce, and 1/2 lemon juice; stir to combine. Season with salt and pepper. | Heat remaining 1 tablespoon vegetable oil in a separate pan over medium-high heat. Add shrimp and fry until they are bright pink on the outside and the meat is opaque, 2 to 3 minutes. Mix in remaining 2 tablespoons butter and lemon juice. Combine with fried rice mixture. | Combine mayonnaise, water, paprika, ginger paste, white sugar, garlic powder, salt, and pepper in a bowl to make the yum yum sauce. Stir well. Serve with the fried rice.","2 cups uncooked jasmine rice | 3 cups water | 3 tablespoons vegetable oil, divided | 1  sweet onion, chopped | 2 cloves garlic, crushed and minced | 1 (16 ounce) package frozen peas and carrots | 4 tablespoons butter, divided | 2  eggs | 4 tablespoons oyster sauce | 3 tablespoons soy sauce | 1  lemon, juiced, divided | salt and pepper to taste | 1 pound uncooked medium shrimp, peeled and deveined | 1 cup mayonnaise | 3 tablespoons water | 2 tablespoons paprika | 1 teaspoon ginger paste | 1 teaspoon white sugar | ½ teaspoon garlic powder | salt and pepper to taste",https://www.allrecipes.com/recipe/272802/japanese-shrimp-fried-rice-with-yum-yum-sauce/
Japanese Beef Stir-Fry,Tender beef strips are quickly stir-fried with crisp and colorful vegetables to make this delicious restaurant-style dinner in your own kitchen.,30 mins,15 mins,45 mins,8,"Slice beef into very thin strips. | Mix cornstarch, broth, soy and sugar until smooth. Set aside. | Heat 1 tablespoon oil in saucepot or wok over high heat. Add beef in 2 batches and stir-fry until browned. Set beef aside. | Add 1 tablespoon oil. Add the mushrooms, cabbage, peppers, celery and green onions in 2 batches and stir-fry over medium heat until tender-crisp. Set vegetables aside. | Stir cornstarch mixture and add. Cook until mixture boils and thickens, stirring constantly. Return beef and vegetables to saucepot and heat through. Serve over rice.","2 pounds boneless beef sirloin or beef top round steaks (3/4"" thick) | 3 tablespoons cornstarch | 1 (10.5 ounce) can  Campbell's® Condensed Beef Broth | ½ cup soy sauce | 2 tablespoons sugar | 2 tablespoons vegetable oil | 4 cups sliced shiitake mushrooms | 1 head Chinese cabbage (bok choy), thinly sliced | 2 medium red peppers, cut into 2""-long strips | 3 stalks celery, sliced | 2 medium green onions, cut into 2"" pieces | Hot cooked regular long-grain white rice",https://www.allrecipes.com/recipe/212636/japanese-beef-stir-fry/
Japanese-Style Deep Fried Chicken,"If you like the taste of Japanese dishes, you will love it. Very crispy, and my friends like it too. You can buy joshinko (rice flour), katakuriko (potato starch), and sesame oil at asian market. If you live in large city, you may find them at American grocery store. Joshinko and katakuriko taste nothing different from regular flour, but they really help to make crispy fried chicken. Do not use sweet soy sauce or too salty soy sauce.",20 mins,20 mins,1 hr 10 mins,8,"In a large bowl, mix together eggs, salt, pepper, sugar, garlic, ginger, sesame oil, soy sauce, and bouillon. Add chicken pieces, and stir to coat. Cover, and refrigerate for 30 minutes. | Remove bowl from refrigerator, add potato starch and rice flour to meat, and mix well. | In a large skillet or deep fryer, heat oil to 365 degrees F (185 degrees C). Place chicken in hot oil, and fry until golden brown. Cook meat in batches to maintain oil temperature. Drain briefly on paper towels. Serve hot.","2  eggs, lightly beaten | ½ teaspoon salt | ½ teaspoon black pepper | ½ teaspoon white sugar | 1 tablespoon minced garlic | 1 tablespoon grated fresh ginger root | 1 tablespoon sesame oil | 1 tablespoon soy sauce | ⅛ teaspoon chicken bouillon granules | 1 ½ pounds skinless, boneless chicken breast halves - cut into 1 inch cubes | 3 tablespoons potato starch | 1 tablespoon rice flour | oil for frying",https://www.allrecipes.com/recipe/28179/japanese-style-deep-fried-chicken/
California Roll,"A California roll is a fresh take on traditional Japanese rice rolls. Filled with avocado, crab, and cucumber, it's fresh and crunchy and makes a filling meal. You can use real or imitation crab.",1 hr,20 mins,1 hr 50 mins,5,N/A,"4 cups water | 2 cups uncooked white rice | ½ cup seasoned rice vinegar | 1 teaspoon white sugar, or to taste | 1 teaspoon salt, or to taste | ¼ pound cooked crab meat, drained of excess liquid and shredded | 1 tablespoon mayonnaise | 5 sheets nori (dry seaweed) | 1  avocado, sliced | ¼ cup red caviar, such as tobiko | 1  English cucumber, seeded and sliced into strips | 2 tablespoons drained pickled ginger, for garnish | 2 tablespoons soy sauce, or to taste | 1 tablespoon wasabi paste",https://www.allrecipes.com/recipe/228953/california-roll/
Air Fryer Tonkatsu,"This air fryer tonkatsu recipe is crispy on the outside and tender and juicy on the inside. You can buy bottled sauce, but this homemade version is simple to make and far better. Serve over rice if desired.",10 mins,20 mins,30 mins,4,"Make sauce: Whisk together ketchup, soy sauce, brown sugar, sherry, Worcestershire sauce, and garlic in a medium bowl until sugar is dissolved. Set sauce aside. | Preheat an air fryer to 350 degrees F (175 degrees C). | Prepare pork chops: Lay pork chops on a clean work surface; season with salt and pepper. | Beat eggs in a flat dish. Place bread crumbs in a separate flat dish. | Dip a pork chop in beaten eggs, then dredge in bread crumbs. Dip again in eggs, then press in bread crumbs to thoroughly coat. Repeat with remaining pork chops. | Place pork chops in the basket of the preheated air fryer and spray the tops with nonstick cooking spray. Air-fry for 10 minutes. Flip chops over using a spatula and spray the tops with nonstick cooking spray again. Air-fry for 10 more minutes. An instant-read thermometer inserted into the center of pork chops should read 145 degrees F (63 degrees C). | Transfer pork chops to a cutting board and slice. Serve with sauce.",½ cup ketchup | 2 tablespoons soy sauce | 1 tablespoon brown sugar | 1 tablespoon sherry | 2 teaspoons Worcestershire sauce | 1 teaspoon minced garlic | 1 pound boneless pork breakfast chops (4 chops) | salt and ground black pepper to taste | 2 large eggs | 1 ½ cups panko bread crumbs | nonstick cooking spray,https://www.allrecipes.com/recipe/278809/air-fryer-tonkatsu/
Okonomiyaki (Japanese Pancake),Okonomiyaki is a Japanese pancake stuffed with yummy goodness! The ingredients provided are the basic okonomiyaki recipe. Feel free to add any vegetables or other meats. Have fun playing with the ingredients!,25 mins,15 mins,40 mins,4,"Mix flour and water together in a bowl until smooth. Stir in cabbage, bacon, eggs, sausage, green onions, shrimp, cheese, and tenkasu. | Preheat a griddle to 400 degrees F (200 degrees C) and coat with oil. | Pour 1/4 of batter onto preheated griddle. Cook until golden brown, about 6 minutes per side. Transfer to a serving plate. Repeat to make a total of 4 pancakes. | Make sauce: Mix soy sauce, ketchup, and vinegar together in a small bowl. Drizzle over pancakes. | Garnish with panko and mayonnaise.","1 cup all-purpose flour | ⅔ cup water | 4 cups chopped cabbage | 6 strips cooked bacon, crumbled | 2  eggs | 1  sausage, diced, or more to taste (Optional) | ½ cup chopped green onions | ¼ cup cooked shrimp (Optional) | ¼ cup shredded cheese (Optional) | ¼ cup tenkasu (tempura pearls) | 1 tablespoon vegetable oil, or to taste | 2 tablespoons soy sauce | 1 tablespoon ketchup | 1 teaspoon white vinegar | 1 tablespoon panko bread crumbs, or to taste | 1 teaspoon mayonnaise, or to taste",https://www.allrecipes.com/recipe/255416/okonomiyaki-japanese-pancake/
